title_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,0,2014,\N,99,Adventure;Comedy;Drama,8.1,607839
tt0083658,movie,Blade Runner,Blade Runner,0,1982,\N,117,Sci-Fi;Thriller,8.2,605287
tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,0,2012,\N,122,Comedy;Drama;Romance,7.7,605178
tt1877832,movie,X-Men: Days of Future Past,X-Men: Days of Future Past,0,2014,\N,132,Action;Adventure;Sci-Fi,8.0,599425
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,\N,161,Western,8.9,597708
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,Action;Adventure;Fantasy,7.3,597233
tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,\N,114,Biography;Drama;Thriller,8.0,592905
tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,\N,137,Action;Crime;Thriller,8.0,591895
tt1136608,movie,District 9,District 9,0,2009,\N,112,Sci-Fi;Thriller,7.9,590872
tt1270798,movie,X-Men: First Class,X: First Class,0,2011,\N,131,Action;Adventure;Sci-Fi,7.7,590843
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,0,1987,\N,116,Drama;War,8.3,586329
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,\N,98,Action;Adventure;Animation,8.1,584351
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,Action;Adventure;Biography,8.0,583678
tt0090605,movie,Aliens,Aliens,0,1986,\N,137,Action;Adventure;Sci-Fi,8.4,581400
tt0773262,tvSeries,Dexter,Dexter,0,2006,2013,53,Crime;Drama;Mystery,8.7,580747
tt2582802,movie,Whiplash,Whiplash,0,2014,\N,106,Drama;Music,8.5,579502
tt1074638,movie,Skyfall,Skyfall,0,2012,\N,143,Action;Adventure;Thriller,7.8,579471
tt1504320,movie,The King's Speech,The King's Speech,0,2010,\N,118,Biography;Drama;History,8.0,576289
tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,Action;Adventure;Animation,8.0,573262
tt0117951,movie,Trainspotting,Trainspotting,0,1996,\N,93,Drama,8.2,571882
