director_lookup_id,title_id,director_id
46620,tt0043265,nm0001379
46629,tt0043274,nm0527217
46630,tt0043274,nm0414144
46631,tt0043274,nm0314671
46821,tt0043456,nm0936404
47501,tt0044079,nm0000033
47503,tt0044081,nm0001415
48481,tt0044706,nm0003593
48517,tt0044741,nm0000041
48863,tt0045061,nm0000406
48955,tt0045152,nm0002045
48956,tt0045152,nm0000037
49896,tt0045793,nm0003593
49916,tt0045810,nm0001328
50310,tt0046183,nm0314671
50311,tt0046183,nm0414144
50312,tt0046183,nm0527217
50313,tt0046183,nm0455741
50378,tt0046250,nm0943758
50397,tt0046268,nm0167241
50436,tt0046303,nm0828419
50498,tt0046359,nm0000697
50583,tt0046438,nm0654868
50687,tt0046534,nm0005738
51514,tt0046911,nm0167241
51515,tt0046912,nm0000033
51919,tt0047296,nm0001415
52023,tt0047396,nm0000033
52067,tt0047437,nm0000697
52108,tt0047478,nm0000041
52160,tt0047528,nm0000019
53191,tt0048028,nm0001415
53455,tt0048280,nm0414144
53456,tt0048280,nm0314671
53457,tt0048280,nm0527217
53732,tt0048545,nm0712947
53793,tt0048605,nm0000697
53924,tt0048728,nm0000033
53948,tt0048750,nm0000033
54797,tt0049223,nm0928208
54837,tt0049261,nm0828419
54946,tt0049366,nm0796923
54988,tt0049406,nm0000040
55054,tt0049470,nm0000033
55322,tt0049730,nm0000406
55432,tt0049833,nm0001124
56334,tt0050083,nm0001486
56467,tt0050212,nm0000180
56898,tt0050613,nm0000041
57079,tt0050783,nm0000019
57125,tt0050825,nm0000040
57278,tt0050976,nm0000005
57288,tt0050986,nm0000005
57516,tt0051201,nm0000697
58266,tt0051459,nm0112218
58633,tt0051808,nm0000041
58905,tt0052077,nm0000248
59148,tt0052311,nm0000080
59203,tt0052357,nm0000033
60050,tt0052520,nm0189075
60054,tt0052520,nm0935636
60055,tt0052520,nm0742341
60056,tt0052520,nm0567471
60057,tt0052520,nm0628149
60058,tt0052520,nm0011727
60059,tt0052520,nm0080867
60060,tt0052520,nm0480807
60061,tt0052520,nm0828720
60063,tt0052520,nm0799033
60065,tt0052520,nm0494903
60067,tt0052520,nm0638528
60068,tt0052520,nm0796923
60069,tt0052520,nm0692872
60070,tt0052520,nm0304681
60072,tt0052520,nm0718467
60078,tt0052520,nm0685957
60079,tt0052520,nm0001149
60080,tt0052520,nm0575546
60081,tt0052520,nm0589228
60082,tt0052520,nm0791027
60083,tt0052520,nm0591142
60086,tt0052520,nm0776838
60087,tt0052520,nm0829717
60091,tt0052520,nm0321143
60094,tt0052520,nm0443170
60095,tt0052520,nm0103975
60097,tt0052520,nm0764781
60098,tt0052520,nm0869664
60101,tt0052520,nm0784198
60174,tt0052561,nm0695937
60235,tt0052618,nm0943758
60762,tt0053125,nm0000033
60833,tt0053198,nm0000076
60856,tt0053221,nm0001328
60927,tt0053285,nm0314671
60932,tt0053291,nm0000697
61116,tt0053472,nm0000419
61466,tt0053502,nm0053484
61467,tt0053502,nm0360253
61876,tt0053604,nm0000697
62055,tt0053779,nm0000019
62347,tt0054047,nm0836328
62528,tt0054215,nm0000033
62658,tt0054331,nm0000040
62712,tt0054387,nm0657162
63459,tt0054698,nm0001175
63739,tt0054953,nm0496746
63781,tt0054997,nm0744035
63827,tt0055031,nm0006452
63828,tt0055032,nm0000076
64067,tt0055254,nm0527217
64068,tt0055254,nm0314671
64069,tt0055254,nm0718627
64452,tt0055614,nm0730385
64453,tt0055614,nm0936404
64468,tt0055630,nm0000041
65180,tt0055928,nm0950109
65448,tt0056172,nm0000180
65469,tt0056193,nm0000040
65474,tt0056197,nm0002175
65476,tt0056197,nm0554249
65477,tt0056197,nm0926919
65498,tt0056217,nm0000406
65499,tt0056218,nm0001239
65907,tt0056592,nm0612322
66002,tt0056687,nm0000736
66208,tt0056751,nm0429167
66209,tt0056751,nm0595610
66210,tt0056751,nm0562813
66212,tt0056751,nm0167171
66215,tt0056751,nm0342374
66216,tt0056751,nm0191821
66217,tt0056751,nm0173582
66218,tt0056751,nm0552957
66222,tt0056751,nm0554199
66226,tt0056751,nm0539958
66228,tt0056751,nm0684129
66232,tt0056751,nm0540543
66235,tt0056751,nm0899374
66236,tt0056751,nm0606807
66238,tt0056751,nm0363865
66239,tt0056751,nm0912170
66240,tt0056751,nm0808850
66243,tt0056751,nm0829701
66244,tt0056751,nm0085351
66247,tt0056751,nm0386482
66250,tt0056751,nm0366443
66251,tt0056751,nm0188409
66252,tt0056751,nm0498780
66253,tt0056751,nm0408202
66254,tt0056751,nm1244117
66257,tt0056751,nm0725880
66258,tt0056751,nm0375451
66259,tt0056751,nm0341038
66260,tt0056751,nm0203786
66261,tt0056751,nm0240172
66264,tt0056751,nm0564226
66265,tt0056751,nm0431586
66705,tt0056801,nm0000019
66778,tt0056869,nm0000033
66834,tt0056923,nm0002045
66925,tt0057012,nm0000040
66989,tt0057076,nm0950109
67030,tt0057115,nm0836328
67046,tt0057129,nm0936404
67112,tt0057193,nm0006452
67347,tt0057413,nm0001175
67490,tt0057546,nm0718627
68658,tt0058150,nm0357891
68691,tt0058182,nm0504513
68859,tt0058329,nm0000033
68861,tt0058331,nm0829038
68919,tt0058385,nm0002030
69003,tt0058461,nm0001466
69344,tt0058777,nm0256831
70171,tt0058946,nm0690597
70354,tt0059113,nm0000180
70855,tt0059578,nm0001466
70932,tt0059646,nm0000591
71033,tt0059742,nm0936404
71092,tt0059800,nm0950109
