director_id,primaryName,birthYear,deathYear,knownForTitles
nm0001379,John Huston,1906,1987,tt0043265
nm0001382,Peter Hyams,1943,\N,tt0146675
nm0001392,Peter Jackson,1961,\N,tt0167260
nm0001398,Jenna Jameson,1974,\N,tt0119951
nm0001399,Marianne Jean-Baptiste,1967,\N,tt1234721
nm0001401,Angelina Jolie,1975,\N,tt1587310
nm0001403,Neil Jordan,1950,\N,tt0104036
nm0001405,Janusz Kaminski,1959,\N,tt0108052
nm0001408,Shekhar Kapur,1945,\N,tt0414055
nm0001410,Lawrence Kasdan,1949,\N,tt0111756
nm0001411,William Katt,1951,\N,tt0074285
nm0001415,Elia Kazan,1909,2003,tt0048028
nm0001417,Brian Keith,1921,1997,tt0096487
nm0001418,David Keith,1954,\N,tt0287978
nm0001424,Udo Kier,1944,\N,tt1389072
nm0001425,Krzysztof Kieslowski,1941,1996,tt0111495
nm0001428,Klaus Kinski,1926,1991,tt0059578
nm0001429,Takeshi Kitano,1947,\N,tt0363226
nm0001430,Jack Klugman,1922,2012,tt0050083
nm0001433,Yaphet Kotto,1939,\N,tt0070328
nm0001437,Emir Kusturica,1954,\N,tt0118843
nm0001438,Neil LaBute,1963,\N,tt0171580
nm0001444,Lorenzo Lamas,1958,\N,tt0077631
nm0001453,Piper Laurie,1932,\N,tt0054997
nm0001460,Mimi Leder,1952,\N,tt2699128
nm0001466,Sergio Leone,1929,1989,tt0087843
nm0001467,Jared Leto,1971,\N,tt0180093
nm0001469,Barry Levinson,1942,\N,tt0095953
nm0001471,Jerry Lewis,1926,2017,tt0085794
nm0001486,Sidney Lumet,1924,2011,tt0074958
nm0001490,Adrian Lyne,1941,\N,tt0099871
nm0001492,Kyle MacLachlan,1959,\N,tt2096673
nm0001493,Peter MacNicol,1954,\N,tt0084707
nm0001494,Ralph Macchio,1961,\N,tt0086066
nm0001497,Tobey Maguire,1975,\N,tt0765010
nm0001500,Karl Malden,1912,2009,tt0047296
nm0001501,Louis Malle,1932,1995,tt0092593
nm0001502,Luis Mandoki,1954,\N,tt0139462
nm0001503,Dinah Manoff,1956,\N,tt0094862
nm0001505,Joe Mantegna,1947,\N,tt0109068
nm0001508,Penny Marshall,1943,\N,tt0094737
nm0001513,Tim Matheson,1947,\N,tt0077975
nm0001515,Joseph Mazzello,1983,\N,tt1583421
nm0001517,Catherine McCormack,1972,\N,tt0266987
nm0001518,Dylan McDermott,1961,\N,tt2302755
nm0001520,Christopher McDonald,1955,\N,tt0103074
nm0001524,Paul McGann,1959,\N,tt0103644
