actor_id,primaryName,birthYear,deathYear,knownForTitles
nm0530760,Joseph M'Barek,1986,\N,tt8157074
nm0531869,Pamela MacDonald,1953,\N,tt9202550
nm0534062,Oengus MacNamara,\N,\N,tt5932728
nm0536663,Attila Magyar,1965,\N,tt3566610
nm0541141,Ricardo Mamood-Vega,1968,\N,tt4913966
nm0541859,Mira Mandoki,1989,\N,tt7715754
nm0543005,Tony Mann,\N,\N,tt8956836
nm0548857,Jackie Marks,\N,\N,tt8162810
nm0552211,Dorian Martin,\N,\N,tt3291788
nm0552355,Greg Allan Martin,\N,\N,tt9023894
nm0558573,Peggy Matheson,\N,\N,tt3145630
nm0559882,Dalene Matthee,1938,2005,tt9253672
nm0561019,Hannes Maurer,\N,\N,tt8602664
nm0563241,Arnie Mazer,\N,\N,tt8496264
nm0568876,Paul McGaffey,\N,\N,tt9247314
nm0575120,Maree Meaker,\N,\N,tt9244098
nm0579728,Laura Mennell,1980,\N,tt6632666
nm0580420,Kelly-Ruth Mercier,1967,\N,tt6156584
nm0585319,Lizzie Mickery,\N,\N,tt6156584
nm0592135,Lin-Manuel Miranda,1980,\N,tt1321510
nm0593330,Frances Mitchell,\N,\N,tt9035872
nm0594010,Katarina Mitrovic,\N,\N,tt8490744
nm0597094,Sam Mollo,\N,\N,tt7931602
nm0597118,John Molloy,\N,\N,tt8610212
nm0600872,Alan Moore,1953,\N,tt7049682
nm0601841,Sadie Moore,\N,\N,tt8943224
nm0603642,Valentin Morel,\N,\N,tt9031048
nm0603903,Carmen Moreno,\N,\N,tt9023894
nm0604699,Hallie Todd,1962,\N,tt5689056
nm0607454,Barry Morrow,1948,\N,tt9149786
nm0608718,Clementine Mosimane,\N,\N,tt9248912
nm0610251,James Mowat,\N,\N,tt6156584
nm0611126,Nele Mueller-Stöfen,1967,\N,tt8811474
nm0613837,Gheorghe Muresan,1971,\N,tt7941194
nm0613900,Marisol Muriel,\N,\N,tt8291806
nm0614044,Kazuhiro Muroyama,\N,\N,tt8178486
nm0618650,Julian Naceri,\N,\N,tt6520522
nm0621393,Kathrine Narducci,1965,\N,tt1302006
nm0634512,Chris Nolte,\N,\N,tt5968394
nm0634666,Valentine Nonyela,1970,\N,tt9202076
nm0638611,Zsuzsa Nyertes,1958,\N,tt8743182
nm0639478,Colm O'Brien,\N,\N,tt5932728
nm0640648,Doug O'Dell,\N,\N,tt5663910
nm0642142,Desmond O'Neill,\N,\N,tt8726180
nm0642575,Seamus O'Rourke,\N,\N,tt9252046
nm0643135,Thierry Obadia,\N,\N,tt9041330
nm0655749,Marcos Padilla,\N,\N,tt5605556
nm0656041,Gianmario Pagano,\N,\N,tt1764494
nm0656929,Josh Pais,1964,\N,tt0385887
nm0660202,Anastasia Papadopoulou,\N,\N,tt8503572
nm0661301,Renee Parent,\N,\N,tt3178184
nm0661504,Erik Parillo,\N,\N,tt9035872
nm0662800,Tony Parkin,\N,\N,tt5331530
nm0664168,Eric Paré,\N,\N,tt0837563
nm0665101,Garry Pastore,1961,\N,tt1302006
nm0667001,Stuart Paul,\N,\N,tt7278120
nm0675278,S.E. Perry,1959,\N,tt6808710
nm0676851,Jes Dorph-Petersen,1959,\N,tt6521194
nm0677263,Lauren Peterson,\N,\N,tt8880868
nm0678944,Yasen Peyankov,\N,\N,tt5968394
nm0681504,Edward Piccin,1971,\N,tt9093838
nm0685421,Celeste Pisapía,\N,\N,tt7286456
nm0688772,Gerhard Polacek,1954,\N,tt7706034
nm0692118,Gail Porter,1971,\N,tt9097792
nm0701182,Antonio Putignano,1961,\N,tt8396092
nm0703253,Boris Quercia,\N,\N,tt8638192
nm0704404,Mildred Quiroz,\N,\N,tt7281348
nm0709904,James Randolph,1934,\N,tt9035872
nm0710274,Louie Rankin,\N,\N,tt1865435
nm0720629,Gabrielle Reumer,\N,\N,tt8157074
nm0722613,Lisa Rhyne,\N,\N,tt6856968
nm0722815,Artur Ribeiro,\N,\N,tt8885808
nm0727541,Joe Ring,1948,\N,tt5880374
nm0734039,Karole Rocher,1974,\N,tt7936092
nm0749442,Carole Ruggier,\N,\N,tt3963226
nm0756830,Garret Sato,1964,\N,tt6924650
nm0758921,Sanne Salomonsen,1955,\N,tt8956872
nm0760457,Dee Dee Samuels,\N,\N,tt9162784
nm0760723,Johanna San Miguel,\N,\N,tt8612956
nm0763969,Ana Santos,1965,\N,tt6704898
nm0764320,Ralph Santostefano,\N,\N,tt6980960
nm0766173,Ruud Satijn,1970,\N,tt8858936
nm0772782,Charlie E. Schmidt,\N,\N,tt9027496
nm0772880,Claudia Schmidt,1967,\N,tt8602664
nm0777604,Katharina Schwarz,1972,\N,tt8618370
nm0780324,Connie Scurlock,\N,\N,tt8404680
nm0782525,Heather Seiffert,\N,\N,tt4463894
nm0785726,Paulo Bongiovanni,1986,\N,tt1609991
nm0787655,Travis Shakespeare,\N,\N,tt8941986
nm0788855,Abhishek Sharma,\N,\N,tt8304386
nm0794912,Cilda Shaur,1962,\N,tt1302006
nm0797627,Andrea Sihler,1957,\N,tt6586090
nm0802764,Gary Sirchia,\N,\N,tt7725504
nm0808055,Dylan Smith,\N,\N,tt7186588
nm0808621,Jared Smith,\N,\N,tt3170458
nm0810722,Karina Smulders,1980,\N,tt7785420
nm0811133,Jeremy Snider,1990,\N,tt8938098
nm0813438,Oana Solomon,1966,\N,tt6593706
nm0815791,Pavel Soukup,1948,\N,tt8724244
nm0816100,Anthony Souter,\N,\N,tt3512332
nm0829997,Jackie Goldston,1968,\N,tt1074206
nm0830441,Suzi Stingl,\N,\N,tt0837563
nm0836321,P.G. Sturges,1953,\N,tt8879732
nm0839057,Scott Sunday,\N,\N,tt9024106
nm0857458,Jeremy Theobald,\N,\N,tt8811620
nm0858361,Daved Thom,\N,\N,tt5605556
nm0859681,Katryna Thomas-Shell,\N,\N,tt8729758
nm0860791,Todd Thompson,1971,\N,tt9097620
nm0866673,Pavla Tomicová,1962,\N,tt8724244
nm0868587,Carolina Torres,\N,\N,tt7178984
nm0869096,Mariana Tosca,1971,\N,tt3195192
nm0872876,Scott Trimble,1977,\N,tt7174660
nm0876592,Vincent Tumeo,\N,\N,tt1302006
nm0877852,Ruby Turner,1958,\N,tt8316568
nm0880227,Vanessa Uhlig,\N,\N,tt8746298
nm0880974,Rainbow Underhill,1972,\N,tt9218782
nm0881166,Ken Unger,\N,\N,tt8493804
nm0881961,Oscar Uriel,1969,\N,tt8954954
nm0893035,Valeria Veneruso,\N,\N,tt6037836
nm0895752,Arnaud Viard,\N,\N,tt9151382
nm0896298,Darryl Vidal,\N,\N,tt3231352
nm0898595,Brian Vincent,1970,\N,tt4939232
nm0898609,Craig Vincent,1960,\N,tt1302006
nm0901110,Stephanie Vogt,1975,\N,tt6806448
nm0907843,Jeremy Steven Walker,\N,\N,tt9163246
nm0908740,Kevin Wallace,\N,\N,tt8747798
nm0909521,Maria Walser,\N,\N,tt9265522
nm0909889,Thyais Walsh,\N,\N,tt6217996
